Johtajat
Johtajat, ylimmat virkamiehet ja jarjestojen johtajat  
2355;Muut taideaineiden opettajat    
2356;Muut tietotekniikan opettajat ja kouluttajat  
2359;Opinto-ohjaajat ja muut opetuksen erityisasiantuntijat  
23591;Opinto-ohjaajat      
23592;Muut opetuksen erityisasiantuntijat    
Liike-elaman ja hallinnon erityisasiantuntijat    
241;Rahoitusalan erityisasiantuntijat     
2411;Laskentatoimen erityisasiantuntijat ja tilintarkastajat   
2412;Rahoitus- ja sijoitusneuvojat    
2413;Rahoitusanalyytikot      
242;Hallinnon erityisasiantuntijat     
2421;Johtamisen ja organisaatioiden erityisasiantuntijat   
2422;Hallinnon ja elinkeinojen kehittamisen erityisasiantuntijat  
2423;Henkilostohallinnon erityisasiantuntijat ja urasuunnittelijat   
2424;Henkiloston kehittamisen erityisasiantuntijat ja kouluttajat  
243;Myynnin, markkinoinnin ja tiedotuksen erityisasiantuntijat  
2431;Mainonnan ja markkinoinnin erityisasiantuntijat   
2432;Tiedottajat      
2433;Myynti-insinoorit ja laake-esittelijat (pl. tieto- ja viestintatekniikka)
2434;Tieto- ja viestintatekniikan myynnin erityisasiantuntijat  
Tieto- ja viestintateknologian erityisasiantuntijat 
251;Systeemityon erityisasiantuntijat     
2511;Sovellusarkkitehdit      
2512;Sovellussuunnittelijat      
2513;Web- ja multimediakehittajat    
2514;Sovellusohjelmoijat      
2519;Muut ohjelmisto- ja sovelluskehittajat   
252;Tietokantojen,- verkkojen ja jarjestelmaohjelmistojen erityisasiantuntijat  
2521;Tietokantasuunnittelijat ja -vastaavat     
2522;Tietojarjestelmien yllapitajat     
2523;Tietoverkkojen erityisasiantuntijat     
2529;Muut tietokanta- ja tietoverkkojen erityisasiantuntijat  
Lainopilliset, sosiaalialan ja kulttuurialan erityisasiantuntijat    
261;Lainopilliset erityisasiantuntijat     
2611;Asianajajat      
2612;Tuomioistuinlakimiehet      
2619;Muut lainopilliset erityisasiantuntijat    
262;Kirjaston- ja arkistonhoitajat seka museoalan erityisasiantuntijat 
26211;Arkistonhoitajat      
26212;Museoalan erityisasiantuntijat     
2622;Kirjastonhoitajat, informaatikot ym.    
263;Yhteiskunta- ja sosiaalialan seka uskonnollisen elaman erityisasiantuntijat
2631;Ekonomistit      
2632;Yhteiskunta- ja kulttuuritutkijat    
2633;Historioitsijat, politiikan tutkijat ja filosofit  
2634;Psykologit      
2635;Sosiaalityon erityisasiantuntijat     
26351;Sosiaalityontekijat ym.     
26352;Sosiaalialan suunnittelijat ym.    
2636;Papit ym. uskonnollisen elaman erityisasiantuntijat  
264;Toimittajat, kirjailijat ja kielitieteilijat   
2641;Kirjailijat ym.     
2642;Toimittajat      
26421;Toimituspaallikot ja -sihteerit, ohjelmapaallikot   
26422;Lehtien yms. toimittajat    
26423;Radio- ja tv-toimittajat    
2643;Kaantajat, tulkit ja muut kielitieteilijat  
265;Taiteilijat      
2651;Kuvataiteilijat      
2652;Muusikot, laulajat ja saveltajat   
2653;Tanssitaiteilijat ja koreografit    
2654;Ohjaajat ja tuottajat    
2655;Nayttelijat      
2656;Juontajat, kuuluttajat ym.    
2659;Muut taiteilijat     
Asiantuntijat   
Luonnontieteiden ja tekniikan asiantuntijat  
